Class Enrollment Summary by Term,,,,,,,,,,,,,
Time run: 2/10/2021 6:30:04 AM,,,,,,,,,,,,,
,,,,,,,,,,,,,
Course ID,Course Title,Course Name,Course Section Code,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Total
111058,ANTHRO 3500,Direction of Doctoral,16,Anthropology,"Liebmann,Matt",0,3,0,0,0,0,0,3
111058,ANTHRO 3500,Direction of Doctoral,18,Anthropology,"Meadow,Richard H.",0,1,0,0,0,0,0,1
111058,ANTHRO 3500,Direction of Doctoral,22,Anthropology,"Subramanian,Ajantha",0,3,0,0,0,0,0,3
111058,ANTHRO 3500,Direction of Doctoral,23,Anthropology,"Ur,Jason Alik",0,2,0,0,0,0,0,2
214587,ANTHRO 3636,Pedagogy in Anthropology,1,Anthropology,"Subramanian,Ajantha",0,8,0,0,0,0,0,8
123453,ANTHRO 91ZR,Supervised Reading & Research,1,Anthropology,"Eddy,Zoe Antoinette",1,0,0,0,0,0,0,1
113567,ANTHRO 97X,Soph Tutorial in Archaeology,1,Anthropology,"Clark,Amy Elizabeth",6,0,0,0,0,0,0,6
143028,ANTHRO 97Z,Sophomore Tutorial Social Anth,1,Anthropology,"Reddy,Malavika",15,0,0,0,0,0,0,15
205522,ANTHRO 98B,Junior Tutorial for Thesis,1,Anthropology,"Eddy,Zoe Antoinette",10,0,0,0,0,0,0,10
205185,ANTHRO 99B,Thesis Tutorial in Anthropolog,1,Anthropology,"Eddy,Zoe Antoinette",12,0,0,0,0,0,0,12
203547,APCOMP 209B,Data Science 2,1,Applied Computation,"Protopapas,Pavlos",1,47,1,18,0,0,0,67
207093,APCOMP 221,Critical Thinking Data Science,1,Applied Computation,"Smith,Michael D.",0,17,0,4,0,0,0,21
207093,APCOMP 221,Critical Thinking Data Science,2,Applied Computation,"Smith,Michael D.",0,18,0,2,0,0,0,20
128103,APCOMP 275,Computational Design of Materi,1,Applied Computation,"Kozinsky,Boris",0,5,0,0,0,0,0,5
156202,APCOMP 297R,CSE Capstone Project,1,Applied Computation,"Tanner,Christopher W.",1,13,1,1,0,0,0,16
109339,APCOMP 298R,Interdisciplinary Sem Apcomp,1,Applied Computation,"Weinstock,Daniel S",1,13,1,0,0,0,0,15
109613,APCOMP 299R,Special Topics Applied Comp,1,Applied Computation,"Weinstock,Daniel S",0,18,0,0,0,0,0,18
156535,APCOMP 302,Special Topics in CSE,1,Applied Computation,"Weinstock,Daniel S",0,8,0,0,0,0,0,8
210893,APCOMP 399-TIME,Academic Related Work SEAS,1,Applied Computation,"Weinstock,Daniel S",0,6,0,0,0,0,0,6
143432,APMTH 105,Ordinary & Partial Diff Equati,1,Applied Mathematics,"Suo,Zhigang",50,5,0,0,0,0,0,55
143432,APMTH 105,Ordinary & Partial Diff Equati,2,Applied Mathematics,"Suo,Zhigang",37,0,0,0,2,0,0,39
118482,APMTH 107,Graph Theory and Combinatorics,1,Applied Mathematics,"Valiant,Leslie G.",18,2,0,0,0,1,0,21
118021,APMTH 115,Mathematical Modeling,1,Applied Mathematics,"Kuang,Zhiming",35,1,0,0,0,0,0,36
113876,APMTH 120,Applicable Linear Algebra,1,Applied Mathematics,"Tziperman,Eli",54,5,0,6,0,0,0,65
135919,APMTH 216,Inverse Problems,1,Applied Mathematics,"Brenner,Michael P.",8,32,0,3,0,0,0,43
203586,APMTH 225,Adv Scientific Computing II,1,Applied Mathematics,"Rycroft,Christopher",5,14,0,0,0,0,0,19
212922,APMTH 22B,Integrating and Approximating,1,Applied Mathematics,"Iams,Sarah M",10,0,0,0,1,0,0,11
203548,APMTH 231,Decision Theory,1,Applied Mathematics,"Ba,Demba",8,9,0,1,0,0,0,18
116840,APMTH 299R,Special Topics in Applied Math,1,Applied Mathematics,"Pehlevan,Cengiz",3,2,0,0,0,0,0,5
116187,APMTH 318,Special Topics in Physical Mat,1,Applied Mathematics,"Brenner,Michael P.",0,1,0,0,0,0,0,1
118975,APMTH 320,Topics in Macroscopic Physics,1,Applied Mathematics,"Mahadevan,L",0,6,0,0,0,0,0,6
159776,APMTH 324,Scientific Computation,1,Applied Mathematics,"Rycroft,Christopher",0,11,0,0,0,0,0,11
212607,APMTH 326,Theoretical Neuroscience,1,Applied Mathematics,"Pehlevan,Cengiz",0,6,0,0,0,0,0,6
122564,APMTH 50,Intro to Applied Mathematics,1,Applied Mathematics,"Pehlevan,Cengiz",31,0,0,0,0,0,0,31
121692,APMTH 91R,Supervised Reading and Researc,1,Applied Mathematics,"Levine,Margo S",12,0,0,0,0,0,0,12
115654,APMTH 99R,Thesis Research,1,Applied Mathematics,"Levine,Margo S",3,0,0,0,0,0,0,3
141253,APPHY 216,Electromag Interact with Matte,1,Applied Physics,"Ham,Donhee",4,26,0,0,0,0,0,30
121594,APPHY 218,"Elect, Optic, & Magn Prop of M",1,Applied Physics,"Li,Xin",0,7,0,0,0,0,0,7
110087,APPHY 275,Computation Design of Material,1,Applied Physics,"Kozinsky,Boris",1,13,0,0,0,0,0,14
116509,APPHY 291,Electron Microscopy Laboratory,1,Applied Physics,"Bell,David C.",0,4,0,0,0,0,0,4
134488,APPHY 292,Kinetics of Condnsd Phase Proc,1,Applied Physics,"Spaepen,Frans A.",0,8,0,0,0,0,0,8
146948,APPHY 295B,Quantum Theory of Solids,1,Applied Physics,"Sachdev,Subir",0,1,0,1,0,0,0,2
131373,APPHY 299R,Special Topics Applied Physics,1,Applied Physics,"Capasso,Federico",0,4,0,0,0,0,0,4
123949,APPHY 304,Materials Science of Biologica,1,Applied Physics,"Aizenberg,Joanna",0,6,0,0,0,0,0,6
125476,APPHY 322,Materials Physics and,1,Applied Physics,"Clarke,David",0,2,0,0,0,0,0,2
125472,APPHY 330,Hetero Nano Devices & Bio-temp,1,Applied Physics,"Hu,Evelyn",0,6,0,0,0,0,0,6
131285,APPHY 332,Exp Condensed Matter Physics,1,Applied Physics,"Westervelt,Robert M.",0,3,0,0,0,0,0,3
122881,APPHY 342,"Nano-Lasers, Single-Photon Sou",1,Applied Physics,"Loncar,Marko",0,15,0,0,0,0,0,15
109412,APPHY 346,Interdisciplinary Dissertation,1,Applied Physics,"Keith,David",0,3,0,0,0,0,0,3
156736,APPHY 350,Exp Physics in Low Dimen Mater,1,Applied Physics,"Kim,Philip",0,4,0,0,0,0,0,4
156741,APPHY 354,Physics of Bacterial Growth,1,Applied Physics,"Amir,Ariel",0,4,0,0,0,0,0,4
116189,APPHY 356,Special Topics Theoretical Eng,1,Applied Physics,"Brenner,Michael P.",0,2,0,0,0,0,0,2
133140,APPHY 360,Nonlinear Laser Phys & Mater E,1,Applied Physics,"Mazur,Eric",0,1,0,0,0,0,0,1
